Timestamp,Faculty Last Name,Semester,COMP Course Number,COMP Section Number,Syllabus,Final Version,Cross-Listed
1/16/2020 8:00:59,Schmitz,Spring 2020,448,002,https://drive.google.com/open?id=10TMuqgQiT8dPMaeWjTB9i8QWD7RYTUiB,Yes,
1/16/2020 9:19:22,Yarrish,Spring 2020,340,001,https://drive.google.com/open?id=10H04ZPelYRxJoFnwrXhqoK1f5KDDdEOO,Yes,
1/16/2020 9:20:30,Yarrish,Spring 2020,440,001,https://drive.google.com/open?id=1NMQqNrko85wD71bzDTiFosywaB_AOJaX,Yes,
1/16/2020 9:36:35,DURSTON,Spring 2020,369,001,https://drive.google.com/open?id=1ZI6fvwGWZ0Zzq5FvxmOVuP38Mx6cOEkH,Yes,
1/16/2020 10:16:05,Klingensmith,Spring 2020,264,002,https://drive.google.com/open?id=1X8QMXfdfacYU3v6qLJRTf_0STmpeJd6U,Yes,
1/16/2020 10:16:33,Klingensmith,Spring 2020,310,001,https://drive.google.com/open?id=1aeB1pqtJiXIBr-6DqgprIC-uj2pBMjQT,Yes,
1/16/2020 10:17:00,Klingensmith,Spring 2020,410,001,https://drive.google.com/open?id=1cIa-5jzdDXZq0CtFljFnoi2gjIoIY2J0,Yes,
1/16/2020 11:33:06,Laufer,Spring 2020,271,002,https://drive.google.com/open?id=1O4inBJOCbL81CYMBpOzk3SFi2SafcNEl,Yes,
1/16/2020 12:00:50,Yacobellis,Spring 2020,170,001,https://drive.google.com/open?id=1zoEJxKd67jlDRVqUbmyiuMSw_IqEvAlz,Yes,
1/16/2020 12:01:23,Yacobellis,Spring 2020,170,003,https://drive.google.com/open?id=1Xl9y5s1N0ClAAYGwHatYmW81-594CELp,Yes,
1/16/2020 12:01:57,Yacobellis,Spring 2020,313,001,https://drive.google.com/open?id=15vGYHZCtKh1z1_WwBrcKpREchbSZkRWy,Yes,
1/16/2020 12:02:26,Yacobellis,Spring 2020,413,001,https://drive.google.com/open?id=1Ipegz2Jb9k5o3HgjGyFG6k2V4jxve2ty,Yes,
1/16/2020 13:03:08,Harrington,Spring 2020,150,005,https://drive.google.com/open?id=1aueqKnb7bRF7NP96qHXDqSSX0dN9V8Ix,Yes,
1/16/2020 13:04:42,Harrington,Spring 2020,150,006,https://drive.google.com/open?id=1fcuI1basuNHCHpoBjs2gMwr-cZiVq8fq,Yes,
1/16/2020 13:47:44,Montaner,Spring 2020,317,001,https://drive.google.com/open?id=1kPIfU07ofbM-IlYMJLG99nExsKSYcWsn,Yes,
1/16/2020 13:48:43,Montaner,Spring 2020,417,001,https://drive.google.com/open?id=1GA0SS7HlTIvTSvxxRywVgvTsUBTHZzxX,Yes,
1/16/2020 16:48:26,Wheeler,Spring 2020,383,001,https://drive.google.com/open?id=1MdVmCmfDNY_KPUf7PWYpBv5siLj3eUCS,Yes,
1/16/2020 16:48:52,Wheeler,Spring 2020,483,001,https://drive.google.com/open?id=1S8VzXicd7NFkOtRzB5p5KvQaXLBKxIvx,Yes,
1/16/2020 19:42:53,Nguyen,Spring 2020,125,002,https://drive.google.com/open?id=1O1VYrn57eOYsX491Czfg7HPFK15Emo19,Yes,
1/16/2020 19:44:29,Nguyen,Spring 2020,150,004,https://drive.google.com/open?id=1eGGE7Qaw95DQojvPTeMoWsYr9QVwtCf5,Yes,
